l,nm	x10bar(l)				
380	0,000160				
385	0,000662				
390	0,002362				
395	0,007242				
400	0,019110				
405	0,043400				
410	0,084736				
415	0,140638				
420	0,204492				
425	0,264737				
430	0,314679				
435	0,357719				
440	0,383734				
445	0,386726				
450	0,370702				
455	0,342957				
460	0,302273				
465	0,254085				
470	0,195618				
475	0,132349				
480	0,080507				
485	0,041072				
490	0,016172				
495	0,005132				
500	0,003816				
505	0,015444				
510	0,037465				
515	0,071358				
520	0,117749				
525	0,172953				
530	0,236491				
535	0,304213				
540	0,376772				
545	0,451584				
550	0,529826				
555	0,616053				
560	0,705224				
565	0,793832				
570	0,878655				
575	0,951162				
580	1,014160				
585	1,074300				
590	1,118520				
595	1,134300				
600	1,123990				
605	1,089100				
610	1,030480				
615	0,950740				
620	0,856297				
625	0,754930				
630	0,647467				
635	0,535110				
640	0,431567				
645	0,343690				
650	0,268329				
655	0,204300				
660	0,152568				
665	0,112210				
670	0,081261				
675	0,057930				
680	0,040851				
685	0,028623				
690	0,019941				
695	0,013842				
700	0,009577				
705	0,006605				
710	0,004553				
715	0,003145				
720	0,002175				
725	0,001506				
730	0,001045				
735	0,000727				
740	0,000508				
745	0,000356				
750	0,000251				
755	0,000178				
760	0,000126				
765	0,000090				
770	0,000065				
775	0,000046				
780	0,000033				
Sum.:	23,329353				
