l,nm	z10bar(l)		
380	0,000705		
385	0,002928		
390	0,010482		
395	0,032344		
400	0,086011		
405	0,197120		
410	0,389366		
415	0,656760		
420	0,972542		
425	1,282500		
430	1,553480		
435	1,798500		
440	1,967280		
445	2,027300		
450	1,994800		
455	1,900700		
460	1,745370		
465	1,554900		
470	1,317560		
475	1,030200		
480	0,772125		
485	0,570060		
490	0,415254		
495	0,302356		
500	0,218502		
505	0,159249		
510	0,112044		
515	0,082248		
520	0,060709		
525	0,043050		
530	0,030451		
535	0,020584		
540	0,013676		
545	0,007918		
550	0,003988		
555	0,001091		
560	0,000000		
565	0,000000		
570	0,000000		
575	0,000000		
580	0,000000		
585	0,000000		
590	0,000000		
595	0,000000		
600	0,000000		
605	0,000000		
610	0,000000		
615	0,000000		
620	0,000000		
625	0,000000		
630	0,000000		
635	0,000000		
640	0,000000		
645	0,000000		
650	0,000000		
655	0,000000		
660	0,000000		
665	0,000000		
670	0,000000		
675	0,000000		
680	0,000000		
685	0,000000		
690	0,000000		
695	0,000000		
700	0,000000		
705	0,000000		
710	0,000000		
715	0,000000		
720	0,000000		
725	0,000000		
730	0,000000		
735	0,000000		
740	0,000000		
745	0,000000		
750	0,000000		
755	0,000000		
760	0,000000		
765	0,000000		
770	0,000000		
775	0,000000		
780	0,000000		
Sum.:	23,334153		
